City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Esperance,AU,-33.8667,121.9,80.6,26,17,14.97,few clouds
283,Jacareacanga,BR,-6.2222,-57.7528,73.76,97,31,1.95,light rain
284,Nabire,ID,-3.3667,135.4833,85.17,67,87,5.08,overcast clouds
285,Kaupanger,NO,61.1845,7.2404,27.0,83,19,1.01,few clouds
286,Dingle,PH,10.9995,122.6711,89.87,52,73,5.32,light rain
287,Road Town,VG,18.4167,-64.6167,79.0,84,3,3.0,clear sky
288,Dakar,SN,14.6937,-17.4441,66.2,94,40,17.27,scattered clouds
289,Aksu,CN,41.1231,80.2644,61.48,20,14,7.05,few clouds
290,Saldanha,ZA,-33.0117,17.9442,60.8,94,14,9.22,few clouds
291,Okha,RU,53.5739,142.9478,32.85,41,0,2.98,clear sky
292,Keti Bandar,PK,24.1447,67.4497,83.12,68,0,13.8,clear sky
293,Talcahuano,CL,-36.7167,-73.1167,55.4,100,20,10.36,few clouds
294,Tabou,CI,4.423,-7.3528,76.1,89,100,5.17,overcast clouds
295,Haines Junction,CA,60.7522,-137.5108,53.6,24,0,6.91,clear sky
296,San Cristobal,VE,7.7669,-72.225,78.8,83,75,3.44,broken clouds
297,Kruisfontein,ZA,-34.0033,24.7314,64.02,61,100,4.43,overcast clouds
298,Hervey Bay,AU,-25.2986,152.8535,75.0,64,30,4.0,scattered clouds
299,San Rafael Del Sur,NI,11.8485,-86.4384,86.0,58,20,9.22,few clouds
300,Inta,RU,66.0317,60.1659,41.43,78,100,17.13,overcast clouds
301,Olafsvik,IS,64.8945,-23.7142,39.33,88,14,12.26,few clouds
302,Erenhot,CN,43.6475,111.9767,48.69,11,29,35.72,scattered clouds
303,Manakara,MG,-22.1333,48.0167,70.38,94,100,4.76,overcast clouds
304,Alugan,PH,12.2188,125.4808,81.95,65,10,10.6,clear sky
305,Mnogovershinnyy,RU,53.9353,139.9242,33.04,68,54,4.94,broken clouds
306,Numan,NG,9.4667,12.0333,81.73,52,81,6.04,broken clouds
